name,platform,file,sequence,vol_min,vol_max,dist_min,dist_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,volume_min_falloff_curve,volumefalloffcurve,reverb_send,dist_reverb_max,reverb_min_falloff_curve,reverb_falloff_curve,pitch_min,pitch_max,randomize_type,spatialized,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,chainaliasname,startdelay,speakermap,lfe percentage,center percentage,envelop_min,envelop_max,envelop percentage,occlusion_level,occlusion_wet_dry,real_delay,distance_lpf,move_type,move_time,min_priority,max_priority,min_priority_threshold,max_priority_threshold,doppler,isbig

#Scavenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_ubersniper_fire_plr,,weapons/bo1_scavenger/scavenger_fire.wav,,0.9,1,,,1,oldest,,,rfl_1st,,,,,,,,,,2d,,,,0.75,,,,,,,wpn_all,,,,,,,,,,,,90,90,0.25,1,,
wpn_ubersniper_fire_npc,,weapons/bo1_scavenger/scavenger_fire.wav,,0.9,1,250,2000,10,priority,2,oldest,rfl_3rd,,,,2000,,,0.98,1.02,,3d,,,,0.7,,,,,,,,,,,,,,,,,,,50,90,0.35,1,,
#Base reload sound lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_ubersniper_mag_out,,weapons/bo1_scavenger/scavenger_mag_out.wav,,0.7,0.75,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,all_sp,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
fly_ubersniper_mag_in,,weapons/bo1_scavenger/scavenger_mag_in.wav,,0.7,0.75,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,all_sp,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
fly_ubersniper_bolt_back,,weapons/bo1_scavenger/scavenger_bolt_back.wav,,0.7,0.75,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,all_sp,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
fly_ubersniper_bolt_forward,,weapons/bo1_scavenger/scavenger_bolt_forward.wav,,0.7,0.75,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,all_sp,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
fly_ubersniper_bolt_up,,weapons/bo1_scavenger/scavenger_bolt_up.wav,,0.65,0.8,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,all_sp,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
fly_ubersniper_bolt_down,,weapons/bo1_scavenger/scavenger_bolt_down.wav,,0.65,0.8,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,all_sp,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
fly_ubersniper_futz,,weapons/bo1_scavenger/scavenger_futz.wav,,0.65,0.8,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,all_sp,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
scavenger_rampup,,weapons/bo1_scavenger/scavenger_rampup.wav,,0.65,0.8,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,all_sp,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
scavenger_explode,,weapons/bo1_scavenger/scavenger_ex.wav,,0.65,0.8,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,all_sp,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
scavenger_explode_ug,,weapons/bo1_scavenger/scavenger_ex_ug.wav,,0.65,0.8,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,all_sp,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
