name,platform,file,sequence,vol_min,vol_max,dist_min,dist_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,volume_min_falloff_curve,volumefalloffcurve,reverb_send,dist_reverb_max,reverb_min_falloff_curve,reverb_falloff_curve,pitch_min,pitch_max,randomize_type,spatialized,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,chainaliasname,startdelay,speakermap,lfe percentage,center percentage,envelop_min,envelop_max,envelop percentage,occlusion_level,occlusion_wet_dry,real_delay,distance_lpf,move_type,move_time,min_priority,max_priority,min_priority_threshold,max_priority_threshold,doppler,isbig

#Base fire sound lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_dsr_fire_plr,,weapons/dsr/wpn_dsr_fire_plr.wav,,0.9,1,,,1,oldest,,,rfl_1st,,,,,,,,,,2d,,,,0.75,,,,,,,wpn_all,,,,,,,,,,,,90,90,0.25,1,,
wpn_dsr_fire_npc,,weapons/dsr/wpn_dsr_fire_npc.wav,,0.9,1,250,2000,10,priority,2,oldest,rfl_3rd,,,,2000,,,0.98,1.02,,3d,,,,0.7,,,,,,,,,,,,,,,,,,,50,90,0.35,1,,
#Base reload sound lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_reload_cloth_med,,weapons/dsr/fly_cloth_medium_00.wav,,0.7,0.75,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,all_sp,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
fly_reload_cloth_sm,,weapons/dsr/fly_cloth_short_00.wav,,0.7,0.75,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,all_sp,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
fly_dsr50_bolt_back,,weapons/dsr/fly_sniper_bb.wav,,0.7,0.75,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,all_sp,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
fly_dsr50_bolt_down,,weapons/dsr/fly_sniper_bd.wav,,0.7,0.75,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,all_sp,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
fly_dsr50_bolt_forward,,weapons/dsr/fly_sniper_bf.wav,,0.7,0.75,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,all_sp,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
fly_dsr50_bolt_up,,weapons/dsr/fly_sniper_bu.wav,,0.7,0.75,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,all_sp,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
fly_dsr50_mag_in,,weapons/dsr/fly_sniper_mag_in.wav,,0.7,0.75,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,all_sp,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
fly_dsr50_mag_out,,weapons/dsr/fly_sniper_mag_out.wav,,0.7,0.75,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,all_sp,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
wpn_dsr50_pap_plr,,weapons/pap/pap_shot_st.wav,,0.9,1,,,1,oldest,,,rfl_1st,,,,,,,,,,2d,,,,0.75,,,,,,,wpn_all,,,,,,,,,,,,90,90,0.25,1,,
wpn_dsr50_pap_npc,,weapons/pap/pap_shot_m.wav,,0.7,0.85,500,4000,10,priority,2,oldest,rfl_3rd,,,,4000,,,0.98,1.02,,3d,,,,0.7,,,,,,,,,,,,,,,,,,,50,90,0.35,1,,
